signal_date,signal_type,entry_price,exit_price,profit_loss,result,hold_bars
2024-06-24 15:00:00+00:00,GC,3113.640587216332,2786.77894498334,-10.4977,LOSS,23
2024-07-28 15:00:00+00:00,DC,2786.77894498334,2716.742492352844,2.5132,WIN,100
2024-12-22 15:00:00+00:00,GC,2716.742492352844,2645.249267192572,-2.6316,LOSS,44
2025-03-03 15:00:00+00:00,DC,2645.249267192572,2726.2749321855626,-3.0631,LOSS,1
2025-03-04 15:00:00+00:00,GC,2726.2749321855626,2630.950885981749,-3.4965,LOSS,5
2025-03-11 15:00:00+00:00,DC,2630.950885981749,2717.695835456171,-3.2971,LOSS,5
2025-03-18 15:00:00+00:00,GC,2717.695835456171,2552.6289038600694,-6.0738,LOSS,8
2025-03-31 15:00:00+00:00,DC,2552.6289038600694,2605.515556745632,-2.0719,LOSS,43
2025-06-03 15:00:00+00:00,GC,2605.515556745632,2552.6291416450144,-2.0298,LOSS,1
2025-06-04 15:00:00+00:00,DC,2552.6291416450144,2658.8875463453387,-4.1627,LOSS,37
2025-07-28 15:00:00+00:00,GC,2658.8875463453387,3365.0,26.5567,WIN,163
